Centers,prediction,features,input_weight,weight,dist,min(dist),"P_Row(prediction=1, Centers=DenseVector([191884.4637, 122096.8645]))","P_Row(prediction=4, Centers=DenseVector([190147.9228, 120567.3944]))","P_Row(prediction=2, Centers=DenseVector([191276.2827, 120629.2864]))","P_Row(prediction=3, Centers=DenseVector([190862.5751, 121574.8836]))","P_Row(prediction=0, Centers=DenseVector([192252.3747, 121477.4662]))"
"[191276.28270778575,120629.286391429]",2,"[190907.63365596623,120419.23917686364]",1.0,17.0,424.28995,106.256615,1835.0377197265625,667.7656860351562,0.0,1050.265869140625,1604.933837890625
"[191276.28270778575,120629.286391429]",2,"[191725.14250141845,120475.68940947509]",1.0,17.0,474.4124,106.256615,1522.728271484375,1473.6268310546875,0.0,1290.972900390625,1025.7904052734375
"[191276.28270778575,120629.286391429]",2,"[191541.33064598488,120940.49607460933]",1.0,17.0,408.78098,106.256615,1099.9473876953125,1336.23779296875,0.0,822.8056030273438,784.765625
"[191276.28270778575,120629.286391429]",2,"[190992.9427399224,120649.61160696902]",1.0,17.0,284.06805,106.256615,1593.5523681640625,742.7536010742188,0.0,828.1544189453125,1400.8970947265625
"[191276.28270778575,120629.286391429]",2,"[190793.0314809476,119800.43092946014]",1.0,17.0,959.44415,106.256615,2436.3466796875,895.9400634765625,0.0,1669.558349609375,2116.83349609375
"[191276.28270778575,120629.286391429]",2,"[191245.778616394,120390.51251251799]",1.0,17.0,240.7145,106.256615,1715.7081298828125,1005.7571411132812,0.0,1138.5645751953125,1375.19677734375
"[191276.28270778575,120629.286391429]",2,"[191399.64971699362,120958.41146278824]",1.0,17.0,351.48645,106.256615,1131.127685546875,1205.1221923828125,0.0,711.3539428710938,892.020751953125
"[191276.28270778575,120629.286391429]",2,"[191078.08222890616,120490.3129824859]",1.0,17.0,242.06825,106.256615,1691.3135986328125,827.0911865234375,0.0,999.5176391601562,1427.8341064453125
"[191276.28270778575,120629.286391429]",2,"[191705.68329046358,120955.35215239823]",1.0,17.0,539.1695,106.256615,1049.1708984375,1499.0872802734375,0.0,939.9989013671875,649.7027587890625
"[191276.28270778575,120629.286391429]",2,"[190790.04743065135,120758.39585238938]",1.0,17.0,503.08447,106.256615,1622.686767578125,563.6729125976562,0.0,713.4461059570312,1523.3026123046875
